- built facing: %s\r\n;- built facing: %s\r\n
- built on: %s\r\n;- built on: %s\r\n
- dir: %s\r\n, dirs[dir];- dir: %s\r\n, dirs[dir]
- flags: %s\r\n;- flags: %s\r\n
- portal in: %d %s\r\n;- portal in: %d %s\r\n
- portal out: %d %s\r\n;- portal out: %d %s\r\n
- value: %d\r\n;- value: %d\r\n
- vnum: %d\r\n, value;- vnum: %d\r\n, value
, City: %s;, Город: %s
, Home: %s;, Дом: %s
, Time: [&g%d action tick%s&0 | &g%d:%02d&0]\r\n;, Time: [&g%d action tick%s&0 | &g%d:%02d&0]\r\n
, with an entrance from %s;, с выходом с %sа
, with entrances from %s and %s;, с выходами с %sа и %sа
.relation <name/vnum> [flags | delete] [which flags]\r\n;.relation <name/vnum> [flags | delete] [which flags]\r\n
(and things that required it);(и вещи, которые требуют это)
(branching from %s).\r\n;(branching from %s).\r\n
(this city was founded too recently);(этот город был основан слишком недавно)
(Type 'respawn' to come back at your tomb.)\r\n;(Наберите 'respawn' чтобы вернуться в вашу гробницу.)\r\n
(you know of none);(вы ничего не знаете)
* The empire has %d city point%s available.\r\n;* Империи доступно %d очков города.\r\n
** Corrupted!\r\n;** Испорчено!\r\n
\r\n  Trigger: &y%s&0, VNum: [&g%5d&0]\r\n;\r\n  Trigger: &y%s&0, VNum: [&g%5d&0]\r\n
\r\n%d visible sockets connected.\r\n, num_can_see;\r\n%d visible sockets connected.\r\n, num_can_see
\r\n%s inventory available here:\r\n;\r\n%s доступный здесь инвентарь:\r\n
\r\nAdd a bonus trait:\r\n;\r\nДобавить бонусный признак:\r\n
\r\nEmpireMUD Statistics:\r\n;\r\nСтатистика EmpireMUD:\r\n
\r\nEnter a number to choose (or 'skip' to choose later) >;\r\nВведите выбранный номер (или 'skip' для выбора позже) >
\r\nInfiltration successful.\r\n;\r\nФильтрование прошло успешно.\r\n
\r\nVault: %.1f coin%s, %d treasure (%d total)\r\n;\r\nУбежище: %.1f монет, %d в сокровищнице (%d всего)\r\n
\r\nYou have been returned to your original location after leaving the adventure.\r\n;\r\nПосле того, как вы покинули приключение, вы вернулись в свое первоначальное место.\r\n
\t[B300]The %s has caught on fire!\t0\r\n;\t[B300]%s охвачен огнем!\t0\r\n
\t[B300]The building is on fire!\t0\r\n;\t[B300]Здание охвачено огнем!\t0\r\n
\t0// in case color is unterminated;\t0// чтобы отменить выбор цвета
\tA...there is a quest here for you!\t0\r\n;\tA...для вас есть задание!\t0\r\n
\tA...you can turn in a quest here!\t0\r\n;\tA...вы можете получить здесь задание!\t0\r\n
\trYou are stunned for %d second%s because you logged in in hostile territory.\r\n;\trВы оглушены в течении %d секунд, так как вошли в игру на враждебной территории.\r\n
\trYou are stunned for %d second%s because your empire is at war.\r\n;\trВы оглушены в течении %d секунд, так как ваша империя в состоянии войны.\r\n
\tyYou gain %d bonus experience point%s! (Bonus exp expires at the end of the day.)\t0\r\n;\tyВы получили %d бонусных очков опыта! (Бонусные очки опыта исчезают в конце дня.)\t0\r\n
